feature,importance_mean,importance_std
f_compliance_lag1,7.64380309338232,0.32860287020035905
f_compliance_roll3_mean,0.6852097766518956,0.07331683036006688
f_compliance_roll6_mean,0.5298787828454733,0.06740799844688748
f_compliance_lag2,0.45043800570648757,0.034292574264305764
f_compliance_lag6,0.37858082694105066,0.02858248887202982
f_month_of_year,0.3666939616413848,0.059829443532944476
f_compliance_roll12_mean,0.21562048005867057,0.026482327447204936
f_compliance_lag11,0.20365294225484618,0.024607720667584175
f_compliance_lag12,0.08248979216303672,0.013424647404279618
f_compliance_lag3,0.06792791234747675,0.024122725401111347
f_months_since_site_start,0.05911952680345713,0.01876362140797639
f_attendance_lag2,0.04578827333637925,0.016321445685858246
f_attendance_lag1,0.03294693351285431,0.027827087835579842
f_attendance_yoy_pct,0.030526163013606132,0.01404577195761798
f_compliance_roll6_std,0.021490765064052786,0.012494453594142892
f_compliance_roll3_std,0.0014019863573062174,0.01762340478873244
f_quarter,0.0,0.0
f_year,0.0,0.0
f_attendance_lag12,-0.0009736110670023557,0.013668487775760936
f_compliance_roll12_std,-0.0063934282433025565,0.01714269292749935
f_recent_slope_3m,-0.018470620882552115,0.011963837157611651
